delayTolerance, linkLeakage, delayCutoff, storageSize, dataSize.0, flow.0, dataSize.1, flow.1, dataSize.2, flow.2
716400, 0.3, 43200, 8e+12, 8e+16, 2.17009271032e+15, 8e+16, 5.543902891e+16, 8e+16, 7.25526681703e+16
720000, 0.3, 43200, 8e+12, 8e+16, 2.06328422999e+16, 8e+16, 8e+16, 8e+16, 3.08301496572e+16
723600, 0.3, 43200, 8e+12, 8e+16, 2.61817950776e+15, 8e+16, 7.02190368508e+16, 8e+16, 5.84727627689e+16
727200, 0.3, 43200, 8e+12, 8e+16, 8.72866675298e+15, 8e+16, 8e+16, 8e+16, 4.36519143185e+16
730800, 0.3, 43200, 8e+12, 0.0, 0.0, 8e+16, 8e+16, 8e+16, 5.29089381504e+16
734400, 0.3, 43200, 8e+12, 8e+16, 1.76411442231e+16, 8e+16, 8e+16, 8e+16, 3.58071331311e+16
738000, 0.3, 43200, 8e+12, 8e+16, 2.71553732654e+16, 8e+16, 5.18196206006e+16, 8e+16, 5.5646992562e+16
741600, 0.3, 43200, 8e+12, 8e+16, 1.0882247409e+16, 8e+16, 7.31521294833e+16, 8e+16, 5.08172951871e+16
745200, 0.3, 43200, 8e+12, 0.0, 0.0, 8e+16, 6.34219858384e+16, 8e+16, 7.18169263209e+16
748800, 0.3, 43200, 8e+12, 8e+16, 1.08897959018e+16, 8e+16, 7.70024435408e+16, 8e+16, 4.88074089141e+16
752400, 0.3, 43200, 8e+12, 8e+16, 9.81355405387e+15, 8e+16, 4.73079456049e+16, 8e+16, 8e+16
756000, 0.3, 43200, 8e+12, 0.0, 0.0, 8e+16, 8e+16, 8e+16, 5.79656077779e+16
759600, 0.3, 43200, 8e+12, 8e+16, 1.13986101151e+16, 8e+16, 5.75907803917e+16, 8e+16, 6.9793762566e+16
763200, 0.3, 43200, 8e+12, 8e+16, 9.35346326824e+15, 8e+16, 4.99764763759e+16, 8e+16, 8e+16
766800, 0.3, 43200, 8e+12, 8e+16, 2.1880005631e+16, 8e+16, 3.84990943708e+16, 8e+16, 7.98716375309e+16
770400, 0.3, 43200, 8e+12, 8e+16, 5.13404801691e+15, 8e+16, 7.3145288246e+16, 8e+16, 6.26043685968e+16
774000, 0.3, 43200, 8e+12, 8e+16, 2.71709893989e+16, 8e+16, 8e+16, 8e+16, 3.45870423526e+16
777600, 0.3, 43200, 8e+12, 8e+16, 1.15706686643e+16, 8e+16, 7.8631698329e+16, 8e+16, 5.23472892407e+16
